,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,stream_mask
2258,6092138847108292992,217.44008448740038,-47.74380702820085,0.5173023763060436,1.1070627965639408,-6.337986314775826,-0.6728989553664351,20.344328,21.552155,19.380274,2.1718807,1.2078266,0.9640541,False
2259,6096064992675009408,212.61443489012817,-46.18031432094795,0.16550053914629287,0.8562415292689776,-13.182489652902994,-3.2865395402443918,19.590359,21.394222,18.326046,3.0681763,1.8038635,1.2643127,False
2260,6092762545079413248,213.30447915153394,-47.26714193089894,-0.19183194581472696,0.6568017828566686,-4.390042619578854,2.7547504476459985,19.858257,20.148355,18.88251,1.2658463,0.2900982,0.97574806,False
2261,6091854279754006528,217.59431062402837,-48.33721703100363,0.30528036201360553,0.6374083938976237,-2.89185781715619,-3.412683312364339,20.185509,20.613884,19.215103,1.3987808,0.42837524,0.9704056,False
2262,6099096591050230656,217.0143105585133,-45.757126322111596,-0.23698122318260031,1.6620874561922259,-11.152031343952071,3.0314843799071127,20.761963,21.41734,19.811087,1.6062527,0.65537643,0.95087624,False
2263,6095951712917904128,212.4838687769826,-46.526390026508544,-0.04166658779311768,0.14407910322635395,-8.669716038378427,-0.8177842245301703,17.179455,17.59135,16.612476,0.9788742,0.41189575,0.56697845,False
2264,6099301302071683968,216.60463107418596,-45.42529556832438,-0.05186782009032193,0.34075548669487365,-1.2592052201581176,-0.6608020672708765,18.677044,18.861786,18.075775,0.78601074,0.18474197,0.60126877,False
2265,6099094460741737728,216.80234371549807,-45.75160948731403,0.20688099955527706,1.0003404127699262,-5.974827669008768,-2.4584078264643128,19.977034,20.052944,19.40107,0.65187454,0.07591057,0.575964,False
2266,6095728473398401152,212.41560199366353,-47.266896598470126,-0.011658269015905571,0.1624215872121037,-5.391722926301095,0.37880951938489305,17.71594,18.145315,17.149944,0.99537086,0.4293747,0.56599617,False
2267,6093171215508665088,214.86003719702242,-46.550249028531034,0.11423556201767905,0.4549139819438026,-3.214083276979599,-2.47792813890303,19.426622,19.768719,18.91746,0.85125923,0.34209633,0.5091629,False
2268,6092797866888628096,213.82327722820176,-46.86131683779481,-0.29621640981339115,0.720872515429761,-4.0820909765211155,-2.360901850497324,20.026434,20.349033,19.40195,0.9470825,0.3225994,0.6244831,False
2269,6092379567136645376,213.84264976857,-48.319195915158254,0.39650064997800555,0.8042261199593833,2.5566903271414105,0.1500274448695872,20.375797,21.416512,19.31475,2.1017609,1.0407143,1.0610466,False
2270,6091657188002291968,215.45278808332122,-48.56170869013699,-0.25890175725206394,0.7840674103458619,-5.781080756646971,-4.3323063587964885,19.693562,20.135881,19.09088,1.045002,0.44231987,0.6026821,False
2271,6092730659243889408,214.45056600146108,-47.21439190562031,0.09560621371726527,1.6065597123933644,-7.709471417435175,-6.89141512748407,20.699808,20.779493,19.985073,0.79442024,0.07968521,0.71473503,False
2272,6099304188289806336,216.42104410703044,-45.38577124749385,0.22007999505755627,0.7736096972104184,-42.64631828637794,-5.114603625298033,19.641825,20.354486,18.431671,1.9228153,0.71266174,1.2101536,False
2273,6092083867229291264,216.44077264397762,-47.72781897742846,-0.08208101914282867,0.5905241676351527,-6.159545320298929,-4.761401054967555,19.616138,20.14248,18.871817,1.2706642,0.5263424,0.7443218,False
2274,6092539481658242944,212.93855212053833,-48.56976530168369,0.19479299497781788,1.5303051285233562,-6.653538128325564,-3.6531859474291597,20.276554,20.72612,19.168335,1.557785,0.4495659,1.1082191,False
2275,6091809715176142080,216.6789237839249,-48.52736445389959,-0.12283522799092098,0.5667481425095524,-11.3958912330978,1.2430539384931047,18.946434,19.161024,18.109354,1.0516701,0.21459007,0.83708,False
2276,6091657742050515200,215.56365736768478,-48.55515616581739,0.32434593717069343,0.7987651858560446,-4.472751684261796,-2.8271947057645823,19.839064,20.253561,19.21152,1.0420418,0.41449738,0.6275444,False
2277,6093129300923310208,215.17704130098986,-46.7664647614182,-0.02104960275913046,0.6326908981031173,-5.141034746476022,-0.1588973647158885,19.873426,20.219807,19.190378,1.0294285,0.34638023,0.68304825,False
2278,6095688925339947392,212.75194621288267,-47.15618612892237,-0.018456514690100505,0.19932012418877343,-6.327144836983461,-2.690885512874889,18.302494,18.749403,17.715195,1.0342083,0.44690895,0.58729935,False
2279,6091917639113032192,217.19328541392062,-48.04840880559222,-0.032035047734302234,0.6965462547958919,0.4633211017089037,1.2086435653722183,20.106396,20.77011,19.219763,1.5503464,0.66371346,0.8866329,False
2280,6091807687951638400,216.81210156386476,-48.53013558404509,0.5262801403549043,1.1801767868826223,-1.9551072523182773,-4.831994257430616,20.033464,20.479464,19.457148,1.022316,0.44599915,0.57631683,False
2281,6092197842778780800,216.45906796644474,-47.303524379372035,-0.5390605757691005,1.3843010494785755,-3.9154875124180664,3.0511354470133565,20.42685,20.227312,19.801558,0.42575455,-0.19953728,0.6252918,False
2282,6093084938210992768,216.4843163821636,-45.991378122773405,0.3532745513056551,0.9032071520202011,-8.471688653820436,-6.973057160893427,20.409544,20.810194,19.472612,1.3375816,0.40065002,0.9369316,False
2283,6091645780569110528,214.830275696725,-48.60540099181855,-0.12818233461168696,0.44207912351961254,1.428335384612577,-3.2130855570633923,18.772001,19.503475,17.969284,1.5341911,0.7314739,0.8027172,False
